lambda,seed,max_epochs,num_samples,input_dim,Accuracy,Unfairness,accuracy_lb,fairness_metric_lb,fairness_metric_ub
0.02,2.0,800,10000,512,0.97,0.03946460742660468,,,
0.02,3.0,800,10000,512,0.970625,0.031423862529491364,,,
0.02,4.0,800,10000,512,0.970625,0.04054255274787316,,,
0.04,2.0,800,10000,512,0.9675,0.01026219399973044,,,
0.04,4.0,800,10000,512,0.950625,0.007100341646579356,,,
0.06,2.0,800,10000,512,0.963125,0.05132178769647644,,,
0.06,3.0,800,10000,512,0.96625,0.0364612311729306,,,
0.06,4.0,800,10000,512,0.966875,0.04217019491119567,,,
0.08,2.0,800,10000,512,0.96875,0.07657877768682186,,,
0.08,3.0,800,10000,512,0.96875,0.06629690966410007,,,
0.08,4.0,800,10000,512,0.965,0.06145856711906572,,,
0.0,2.0,800,10000,512,0.97375,0.06404052662055926,,,
0.0,3.0,800,10000,512,0.9775,0.06617355576573652,,,
0.0,4.0,800,10000,512,0.97375,0.0649970692847297,,,